id_evento,fecha_hora,producto,stock,sucursal,categoria,unidad,costo_unitario
I-E1B2C49911,2026-09-11 17:51:11,Galleta de mantequilla,75,Sur,Reposteria,pza,6.0
I-837DDFA160,2026-09-11 17:51:12,Brownie nogada,49,Plaza Obelie,Reposteria,pza,20.0
I-8B032A1780,2026-09-11 17:51:13,Galleta de mantequilla,72,Sur,Reposteria,pza,6.0
I-77882F1798,2026-09-11 17:51:13,Galleta de mantequilla,27,Centro,Reposteria,pza,6.0
I-933506F544,2026-09-11 17:51:14,Pastel de chocolate,26,Norte,Pasteles,pza,150.0
I-5C6FC224A5,2026-09-11 17:51:15,Brownie nogada,28,Norte,Reposteria,pza,20.0
I-53B883A861,2026-09-11 17:51:11,Baguette tradicional,36,Plaza Obelie,Panaderia,pza,9.0
I-B11B4B6A3D,2026-09-11 17:51:13,Croissant de almendra,51,Sur,Viennoiserie,pza,18.0
I-0690EA0C8C,2026-09-11 17:51:14,Croissant de almendra,69,Centro,Viennoiserie,pza,18.0
I-EF115D3C4D,2026-09-11 17:51:15,Croissant de almendra,77,Plaza Obelie,Viennoiserie,pza,18.0
I-BF0AEA6508,2026-09-11 17:51:16,Tarta de frutas,32,Norte,Pasteles,pza,155.0
I-B2363C1BCD,2026-09-11 17:51:17,Cheesecake de frutos rojos,62,Plaza Obelie,Pasteles,pza,170.0
I-951D90BD67,2026-09-11 17:51:17,Pastel de chocolate,42,Sur,Pasteles,pza,150.0
I-DD310194E1,2026-09-11 17:51:18,Rol de canela,77,Norte,Viennoiserie,pza,15.0
I-15C2940EAD,2026-09-11 17:51:18,Tarta de frutas,16,Plaza Obelie,Pasteles,pza,155.0
I-18E0BF179F,2026-09-11 17:51:19,Cheesecake de frutos rojos,51,Centro,Pasteles,pza,170.0
I-B82961F60D,2026-09-11 17:51:19,Tarta de frutas,84,Sur,Pasteles,pza,155.0
I-630612F177,2026-09-11 17:51:19,Brownie nogada,53,Plaza Obelie,Reposteria,pza,20.0
I-384DC48742,2026-09-11 17:51:20,Baguette tradicional,29,Plaza Obelie,Panaderia,pza,9.0
I-FCBABA2CB1,2026-09-11 17:51:20,Macaron mixto,60,Centro,Petit fours,pza,10.0
I-6E57CA186E,2026-09-11 17:51:21,Baguette tradicional,34,Centro,Panaderia,pza,9.0
I-8D4523FFB8,2026-09-11 17:51:22,Galleta de mantequilla,89,Norte,Reposteria,pza,6.0
I-0531904F06,2026-09-11 17:51:22,Tarta de frutas,40,Norte,Pasteles,pza,155.0
I-217C828EDA,2026-09-11 17:51:23,Galleta de mantequilla,84,Norte,Reposteria,pza,6.0
I-3313A90BE8,2026-09-11 17:51:24,Croissant de almendra,27,Norte,Viennoiserie,pza,18.0
I-CA4A9FFD2F,2026-09-11 17:51:24,Galleta de mantequilla,95,Norte,Reposteria,pza,6.0
I-6EC75C848B,2026-09-11 17:51:25,Cheesecake de frutos rojos,55,Plaza Obelie,Pasteles,pza,170.0
I-6E7FFCBDD5,2026-09-11 17:51:25,Cheesecake de frutos rojos,61,Sur,Pasteles,pza,170.0
I-E5320A53C1,2026-09-11 17:51:26,Galleta de mantequilla,82,Sur,Reposteria,pza,6.0
I-E004E2E054,2026-09-11 17:51:26,Pastel de chocolate,42,Sur,Pasteles,pza,150.0
I-14471A6B6A,2026-09-11 17:51:27,Macaron mixto,48,Sur,Petit fours,pza,10.0
I-17D90F32B6,2026-09-11 17:51:28,Croissant de almendra,49,Sur,Viennoiserie,pza,18.0
I-FC4BC76923,2026-09-11 17:51:28,Baguette tradicional,83,Norte,Panaderia,pza,9.0
I-84BDAA7B24,2026-09-11 17:51:29,Rol de canela,42,Centro,Viennoiserie,pza,15.0
I-A34019BF05,2026-09-11 17:51:29,Croissant de almendra,29,Norte,Viennoiserie,pza,18.0
I-E0E820DA94,2026-09-11 17:51:30,Tarta de frutas,96,Sur,Pasteles,pza,155.0
I-E8D4D918C7,2026-09-11 17:51:30,Brownie nogada,39,Centro,Reposteria,pza,20.0
I-5A6D7C8091,2026-09-11 17:51:31,Pastel de chocolate,81,Plaza Obelie,Pasteles,pza,150.0
I-40F5DD3FAB,2026-09-11 17:51:32,Baguette tradicional,72,Sur,Panaderia,pza,9.0
I-F6353FE785,2026-09-11 17:51:32,Rol de canela,37,Centro,Viennoiserie,pza,15.0
I-4EE4A609CE,2026-09-11 17:51:33,Rol de canela,82,Norte,Viennoiserie,pza,15.0
I-4D333EE42B,2026-09-11 17:51:34,Eclair de cafe,73,Sur,Petit fours,pza,16.0
I-6F65B6A6A0,2026-09-11 17:51:34,Rol de canela,74,Sur,Viennoiserie,pza,15.0
I-1B2703FD0D,2026-09-11 17:51:35,Cheesecake de frutos rojos,66,Plaza Obelie,Pasteles,pza,170.0
I-7D98BF339F,2026-09-11 17:51:36,Macaron mixto,42,Sur,Petit fours,pza,10.0
I-6F9B817539,2026-09-11 17:51:36,Tarta de frutas,57,Centro,Pasteles,pza,155.0
I-36918F6461,2026-09-11 17:51:37,Tarta de frutas,89,Sur,Pasteles,pza,155.0
I-B374712DFF,2026-09-11 17:51:37,Rol de canela,38,Centro,Viennoiserie,pza,15.0
I-421323CEF3,2026-09-11 17:51:38,Pastel de chocolate,83,Plaza Obelie,Pasteles,pza,150.0
I-9A6D7D3296,2026-09-11 17:51:38,Croissant de almendra,81,Centro,Viennoiserie,pza,18.0
I-997945607F,2026-09-11 17:51:39,Eclair de cafe,57,Centro,Petit fours,pza,16.0
I-7EF32AE5E0,2026-09-11 17:51:39,Pastel de chocolate,37,Norte,Pasteles,pza,150.0
I-6221A4ED0D,2026-09-11 17:51:40,Cheesecake de frutos rojos,72,Plaza Obelie,Pasteles,pza,170.0
I-82A152C3C3,2026-09-11 17:51:40,Rol de canela,75,Sur,Viennoiserie,pza,15.0
I-7EA3F08229,2026-09-11 17:51:41,Cheesecake de frutos rojos,83,Plaza Obelie,Pasteles,pza,170.0
I-625A639E79,2026-09-11 17:51:42,Brownie nogada,84,Sur,Reposteria,pza,20.0
I-FB3591271B,2026-09-11 17:51:42,Rol de canela,76,Sur,Viennoiserie,pza,15.0
I-8468176C8F,2026-09-11 17:51:43,Eclair de cafe,27,Norte,Petit fours,pza,16.0
I-4D0FDC0993,2026-09-11 17:51:43,Macaron mixto,52,Centro,Petit fours,pza,10.0
I-33E48E0E46,2026-09-11 17:51:44,Brownie nogada,48,Centro,Reposteria,pza,20.0
I-5430EEE109,2026-09-11 17:51:45,Pastel de chocolate,78,Plaza Obelie,Pasteles,pza,150.0
I-62D908EA71,2026-09-11 17:51:45,Baguette tradicional,88,Norte,Panaderia,pza,9.0
I-F8B145CEE6,2026-09-11 17:51:46,Macaron mixto,25,Norte,Petit fours,pza,10.0
I-8734AE4572,2026-09-11 17:51:46,Cheesecake de frutos rojos,53,Centro,Pasteles,pza,170.0
I-D3DD63BA5A,2026-09-11 17:51:47,Cheesecake de frutos rojos,56,Sur,Pasteles,pza,170.0
I-A7FACE55DC,2026-09-11 17:51:47,Pastel de chocolate,63,Centro,Pasteles,pza,150.0
I-674A4CE801,2026-09-11 17:51:48,Croissant de almendra,33,Norte,Viennoiserie,pza,18.0
I-DD4849F7C3,2026-09-11 17:51:49,Brownie nogada,25,Norte,Reposteria,pza,20.0
I-8D9503FC0B,2026-09-11 17:51:49,Pastel de chocolate,72,Plaza Obelie,Pasteles,pza,150.0
I-B5A3951652,2026-09-11 17:51:50,Rol de canela,88,Norte,Viennoiserie,pza,15.0
I-8832C5743A,2026-09-11 17:51:50,Rol de canela,77,Plaza Obelie,Viennoiserie,pza,15.0
I-1B70AD71D7,2026-09-11 17:51:51,Macaron mixto,48,Centro,Petit fours,pza,10.0
I-9E5683B081,2026-09-11 17:51:51,Eclair de cafe,71,Sur,Petit fours,pza,16.0
I-F39CE1F2A9,2026-09-11 17:51:52,Rol de canela,30,Centro,Viennoiserie,pza,15.0
I-8AE53E9444,2026-09-11 17:51:53,Brownie nogada,53,Centro,Reposteria,pza,20.0
I-0408D5BB65,2026-09-11 17:51:53,Cheesecake de frutos rojos,23,Norte,Pasteles,pza,170.0
I-2015483DF5,2026-09-11 17:51:54,Eclair de cafe,58,Centro,Petit fours,pza,16.0
I-E1A626E288,2026-09-11 17:51:55,Galleta de mantequilla,80,Sur,Reposteria,pza,6.0
I-2115028926,2026-09-11 17:51:55,Macaron mixto,19,Norte,Petit fours,pza,10.0
I-D3C4376D94,2026-09-11 17:51:56,Croissant de almendra,88,Plaza Obelie,Viennoiserie,pza,18.0
I-925EDDD411,2026-09-11 17:51:56,Rol de canela,23,Centro,Viennoiserie,pza,15.0
I-6E0D9D71C9,2026-09-11 17:51:57,Baguette tradicional,29,Plaza Obelie,Panaderia,pza,9.0
I-5622B46BD1,2026-09-11 17:51:58,Macaron mixto,64,Plaza Obelie,Petit fours,pza,10.0
I-F0A38B7A51,2026-09-11 17:51:58,Baguette tradicional,46,Centro,Panaderia,pza,9.0
I-ADDBF95683,2026-09-11 17:51:59,Croissant de almendra,61,Sur,Viennoiserie,pza,18.0
I-315D48A1DE,2026-09-11 17:51:59,Galleta de mantequilla,86,Sur,Reposteria,pza,6.0
I-750D0FD1BF,2026-09-11 17:52:00,Tarta de frutas,34,Norte,Pasteles,pza,155.0
I-14ACAAE5E6,2026-09-11 17:52:00,Macaron mixto,39,Sur,Petit fours,pza,10.0
I-B0779A80D9,2026-09-11 17:52:01,Eclair de cafe,37,Norte,Petit fours,pza,16.0
I-9E9E3AB96D,2026-09-11 17:52:02,Baguette tradicional,34,Plaza Obelie,Panaderia,pza,9.0
I-276ABF8BF6,2026-09-11 17:52:02,Tarta de frutas,27,Norte,Pasteles,pza,155.0
I-430D2E3E79,2026-09-11 17:52:03,Macaron mixto,75,Plaza Obelie,Petit fours,pza,10.0
I-E1A5C43782,2026-09-11 17:52:03,Galleta de mantequilla,23,Plaza Obelie,Reposteria,pza,6.0
I-77F4038C41,2026-09-11 17:52:04,Galleta de mantequilla,98,Sur,Reposteria,pza,6.0
I-C964D3BF1C,2026-09-11 17:52:05,Brownie nogada,60,Plaza Obelie,Reposteria,pza,20.0
I-D87831F2E9,2026-09-11 17:52:05,Brownie nogada,60,Centro,Reposteria,pza,20.0
I-2E10495DF9,2026-09-11 17:52:05,Tarta de frutas,54,Centro,Pasteles,pza,155.0
I-548C81A1A7,2026-09-11 17:52:06,Brownie nogada,22,Norte,Reposteria,pza,20.0
I-D567CCEB97,2026-09-11 17:52:07,Brownie nogada,26,Norte,Reposteria,pza,20.0
I-F5F9DB46FE,2026-09-11 17:52:07,Tarta de frutas,99,Sur,Pasteles,pza,155.0
I-62F7D14B45,2026-09-11 17:52:08,Rol de canela,26,Centro,Viennoiserie,pza,15.0
I-8D17829D4B,2026-09-11 17:52:08,Cheesecake de frutos rojos,92,Plaza Obelie,Pasteles,pza,170.0
I-99DA579411,2026-09-11 17:52:09,Tarta de frutas,21,Plaza Obelie,Pasteles,pza,155.0
I-EEF6AB2D41,2026-09-11 17:52:09,Eclair de cafe,52,Centro,Petit fours,pza,16.0
I-C5D1063FD1,2026-09-11 17:52:10,Tarta de frutas,98,Sur,Pasteles,pza,155.0
I-4533D196DD,2026-09-11 17:52:11,Baguette tradicional,83,Norte,Panaderia,pza,9.0
I-147B12DC5D,2026-09-11 17:52:11,Macaron mixto,11,Norte,Petit fours,pza,10.0
I-35628A4A44,2026-09-11 17:52:12,Baguette tradicional,78,Norte,Panaderia,pza,9.0
