id_pago,id_venta,fecha_hora,metodo_pago,monto,estado,referencia
P-A5A57D18BB,V-7322F7CE2C,2026-09-11 17:51:11,efectivo,275.0,aprobado,REF-5CB1119D
P-BDDAEBD4CD,V-434389601E,2026-09-11 17:51:13,transferencia,1560.0,aprobado,REF-6C81AC70
P-46DDFD687F,V-9E3D69BC69,2026-09-11 17:51:14,tarjeta,192.0,aprobado,REF-314EDBF2
P-0F2BD296DE,V-3776B74A27,2026-09-11 17:51:12,vale,168.0,aprobado,REF-E4BDDE01
P-7D36FB0370,V-DDBF1FAA90,2026-09-11 17:51:12,efectivo,64.0,aprobado,REF-4B9E04D4
P-77A2C55183,V-855F82F98D,2026-09-11 17:51:14,vale,180.0,aprobado,REF-D862324A
P-7189FD5B29,V-A5B10CA616,2026-09-11 17:51:11,transferencia,84.0,aprobado,REF-1E16B2A6
P-579C9DBE10,V-D3320B79AC,2026-09-11 17:51:15,vale,110.0,aprobado,REF-A2AB46AC
P-319F7F9D8C,V-BEB504E836,2026-09-11 17:51:15,vale,1950.0,aprobado,REF-63CAA265
P-6EF33044B3,V-29806FFF84,2026-09-11 17:51:16,transferencia,54.0,aprobado,REF-B65D99E5
P-56D93C7B11,V-A44B31908E,2026-09-11 17:51:16,transferencia,1260.0,aprobado,REF-E4C9F26E
P-001BE2A711,V-EA11F2DFC7,2026-09-11 17:51:17,vale,210.0,aprobado,REF-3C0A798E
P-7F9DA9B5FE,V-24B005A1BE,2026-09-11 17:51:17,tarjeta,192.0,aprobado,REF-373109F1
P-89135293FB,V-239BC3CED3,2026-09-11 17:51:18,efectivo,64.0,pendiente,REF-DBF52273
P-5678B32355,V-76BEFA02C6,2026-09-11 17:51:19,tarjeta,780.0,pendiente,REF-B2DBDA78
P-722E4664EF,V-4184622BB4,2026-09-11 17:51:19,vale,288.0,pendiente,REF-E178E6AD
P-890C88C088,V-4C1A1CEA5C,2026-09-11 17:51:20,efectivo,180.0,aprobado,REF-1FFD38DB
P-7C2FC133A6,V-E09A760863,2026-09-11 17:51:20,vale,144.0,aprobado,REF-241128A5
P-4E7814170E,V-026C2C8A05,2026-09-11 17:51:21,efectivo,18.0,aprobado,REF-C984E1DE
P-F830D34BA7,V-4B5B40940D,2026-09-11 17:51:21,efectivo,240.0,pendiente,REF-0FB7DBD6
P-2DAA305879,V-FF552BD128,2026-09-11 17:51:22,tarjeta,126.0,pendiente,REF-38E4231C
P-7B82A2D9AB,V-A4DA196BB1,2026-09-11 17:51:22,transferencia,1680.0,pendiente,REF-0FD4AE78
P-2D1F7BA9C9,V-26F8117136,2026-09-11 17:51:23,tarjeta,32.0,aprobado,REF-7DF7CE40
P-BF6C71840E,V-B3E61293F6,2026-09-11 17:51:23,transferencia,108.0,aprobado,REF-636B2608
P-C764BB6DB3,V-9E0792DAF7,2026-09-11 17:51:24,tarjeta,220.0,pendiente,REF-CA377AC2
P-804299EE01,V-6BC5D83F9C,2026-09-11 17:51:25,vale,112.0,aprobado,REF-EDB759D0
P-1374F6D041,V-B67227294E,2026-09-11 17:51:25,efectivo,140.0,aprobado,REF-717D9476
P-98115310B3,V-5E0C55F739,2026-09-11 17:51:25,tarjeta,1680.0,aprobado,REF-40441B4E
P-F01A23C3DC,V-49176C0F6F,2026-09-11 17:51:26,efectivo,1170.0,aprobado,REF-4E4CE093
P-0730A2C93C,V-DB5BE628DF,2026-09-11 17:51:26,vale,135.0,aprobado,REF-DC3311DA
P-5E1C9A9F73,V-381C02D08B,2026-09-11 17:51:27,efectivo,165.0,aprobado,REF-1B6F081E
P-6E0073DD36,V-7FEC2A7A6E,2026-09-11 17:51:27,tarjeta,45.0,pendiente,REF-3CDCC4DB
P-E5437870E8,V-8A11734A31,2026-09-11 17:51:28,efectivo,168.0,pendiente,REF-8669CECA
P-915143CD6C,V-80BEFC741C,2026-09-11 17:51:28,tarjeta,18.0,aprobado,REF-64E247AD
P-640B746B0C,V-780F5F39E3,2026-09-11 17:51:29,vale,380.0,pendiente,REF-844B63CC
P-050839905E,V-5BFC381338,2026-09-11 17:51:30,tarjeta,18.0,pendiente,REF-A17A0411
P-679BAD021F,V-5E1BB6FAA1,2026-09-11 17:51:30,vale,760.0,aprobado,REF-C6001C0D
P-66D4C48DF2,V-C5A485A3DF,2026-09-11 17:51:31,transferencia,18.0,aprobado,REF-CC8E4F53
P-60A4386663,V-C2CD7A314D,2026-09-11 17:51:31,transferencia,84.0,pendiente,REF-0D2A7CBE
P-6213F387CD,V-ABBC19DF64,2026-09-11 17:51:32,tarjeta,96.0,pendiente,REF-5386D9E3
P-3179D42D5B,V-89C36534E0,2026-09-11 17:51:32,transferencia,192.0,aprobado,REF-66F767D5
P-AAEF5CC729,V-98C1BC30D3,2026-09-11 17:51:33,transferencia,192.0,aprobado,REF-AAB7D1C8
P-1CCB2D7E96,V-0FCDD0FCFD,2026-09-11 17:51:34,tarjeta,48.0,aprobado,REF-8E01F4DE
P-27C163CA28,V-37A00BB56A,2026-09-11 17:51:34,transferencia,270.0,aprobado,REF-0ECA34DB
P-1ECE8E9753,V-6C6F794F01,2026-09-11 17:51:35,transferencia,32.0,aprobado,REF-1F25E389
P-6899E15F3A,V-DE503C8958,2026-09-11 17:51:36,vale,168.0,aprobado,REF-8B92ED3F
P-5A4CB7EF85,V-77CD68F1AB,2026-09-11 17:51:37,vale,420.0,aprobado,REF-89545B2B
P-F8D04BB358,V-10D01F4749,2026-09-11 17:51:37,tarjeta,192.0,aprobado,REF-0243F1F8
P-FB24EA7FBC,V-425A67003B,2026-09-11 17:51:38,vale,288.0,aprobado,REF-3C230425
P-233E07FA9F,V-EEF9A0E879,2026-09-11 17:51:38,tarjeta,2520.0,pendiente,REF-25498C23
P-183D48FA28,V-EC0368E034,2026-09-11 17:51:39,efectivo,96.0,aprobado,REF-9F55B9FC
P-F9C05D069C,V-7DE884B586,2026-09-11 17:51:40,tarjeta,90.0,aprobado,REF-AA1E9324
P-4D986C1FD3,V-3E0A608DD9,2026-09-11 17:51:40,vale,2340.0,aprobado,REF-6AE03A58
